Term,Source,Definition,UF,USE,BT,NT,RT,First_Letter
nonjurisdictional wetlands,Roadside Manual,"Nonjurisdictional wetlands include those artificial wetlands intentionally created from nonwetland sites, including, but not limited to, irrigation and drainage ditches, canals excavated in uplands, stormwater detention ponds, wastewater treatment facilities created in uplands, and certain agricultural activities and landscape amenities created in uplands. Grass-lined swales and wastewater treatment facilities can be constructed in wetlands but must be so designated and specifically designed for water treatment purposes. Mitigation will be required to compensate for the wetland lost to such a facility",,,,,,n
nonmitigated area,Highway Runoff Manual,The area not included as part of the stormwater treatment.,,,,,,n
Nonoperating Property (Utility),Right of Way Manual,"Property held by a public or private utility by fee title, easement, lease, etc., and which is not presently integrated as a part of a public service network.",,,,,"Nonoperating Property, Departmental (Consultant Services)",N
Nonoperating Property (Utility),Right of Way Manual,"Property held by a public or private utility by fee title, easement, lease, etc., and which is not presently integrated as a part of a public service network.",,,,,"Nonoperating Property, Departmental (Right of Way)",N
"Nonoperating Property, Departmental (Consultant Services)",Consultant Services Manual,"Waste sites, pit sites, stockpile sites, maintenance sites, and other such lands required or used in support of the construction and/or operation of a highway",,,,,Nonoperating Property (Utility),N
"Nonoperating Property, Departmental (Consultant Services)",Consultant Services Manual,"Waste sites, pit sites, stockpile sites, maintenance sites, and other such lands required or used in support of the construction and/or operation of a highway",,,,,"Nonoperating Property, Departmental (Right of Way)",N
"Nonoperating Property, Departmental (Right of Way)",Right of Way Manual,"Waste sites, pits, stockpile sites, maintenance sites, drainage and stream easements, and other such lands or easements required or used in the support of the construction and/or operation of a vehicular public way.",,,,,Nonoperating Property (Utility),N
"Nonoperating Property, Departmental (Right of Way)",Right of Way Manual,"Waste sites, pits, stockpile sites, maintenance sites, drainage and stream easements, and other such lands or easements required or used in the support of the construction and/or operation of a vehicular public way.",,,,,"Nonoperating Property, Departmental (Consultant Services)",N
Nonparticipating Items,Local Agency Guidelines,Items of project work that are not a part of the federal aid funding.,,,,,,N
Nonproject Action,Environment Manual,"Governmental actions involving decisions on policies, plans, or programs that contain standards controlling the use or modification of the environment, or that will govern a series of connected actions.",,,,,,N
Nonrecoverable Slope,Desgin Manual,"A slope on which an errant vehicle will continue until it reaches the bottom, without having the ability to recover control. Fill slopes steeper than 4H:1V, but no steeper than 3H:1V, are considered nonrecoverable.",,,,,,N
Nonrecoverable Slope,Utilities Manual,"A slope on which an errant vehicle will continue until it reaches the bottom, without having the ability to recover control. Fill slopes steeper than 4H:1V, but no steeper than 3H:1V, are considered nonrecoverable.",,,,,,N
nonseparated HOV lane,Desgin Manual,An HOV lane that is adjacent to and operates in the same direction as the general-purpose lanes with unrestricted access between the HOV lane and the general-purpose lanes.,,,,,,n
nonstandard agreement,Consultant Services Manual,Any agreement that is not a WSDOT standard form. Any revision to a standard form will constitute a nonstandard agreement.,,,,,Standard Form Agreement (Bridge Inspection),n
Nonurbanized Area,State Management Plan,"Any area outside of an urbanized area. The term 'nonurbanized area' includes rural areas and urban areas under 50,000 in population not included in an urbanized area. In this plan, the term 'rural' is commonly used to refer to all areas other than urbanized areas.",,,,,,N
notice of appearance,Desgin Manual,A form provided by WSDOT for anyone wanting to receive a copy of the findings and order and the adopted limited access plan (see Chapter Design Manual 210).,,,,,,n
notice of hearing,Desgin Manual,(or hearing notice) A published advertisement that a public hearing will be held.,,,,,,n
Notice of Intent,Local Agency Guidelines,"A federal notice, printed in the Federal Register, advising that an EIS will be prepared and considered for a proposal.",,,,,,N
notice of opportunity for a hearing,Desgin Manual,An advertised offer to hold a public hearing.,,,,,,n
Notices to Airmen (NOTAM),State-Managed Airport Handbook,"A notice containing information concerning the establishment, condition or change in any aeronautical facility, service, procedure or hazard, the timely knowledge of which is essential to personnel concerned with flight operations. NOTAMs are distributed via two methods: telecommunications (Class I) and/or postal services (Class 11).",,,,,,N
Object Free Area (OFA),State-Managed Airport Handbook,"An area on the ground centered on a runway, taxiway, or taxilane centerline provided to enhance the safety of aircraft operations by having the area free of objects, except for objects that need to be located in the OFA for air navigation or aircraft ground maneuvering purposes.",,,,,,O
